sex,stageday,stage,subject,GroupCount,aucvalues,peRat10sec,peLatency10sec,cue
F,1,9,rat12,481,1.091402653,0.925925926,1.526326886,DS
F,1,9,rat16,481,4.751592843,0.733333333,3.290450851,DS
F,1,9,rat9,481,1.996746995,0.766666667,1.373848264,DS
F,2,9,rat12,481,2.905632744,0.714285714,1.414438912,DS
F,2,9,rat16,481,1.889535165,0.5,2.244804608,DS
F,2,9,rat9,481,1.500752329,0.413793103,1.74157824,DS
F,3,9,rat12,481,3.245684303,0.285714286,1.48619264,DS
F,3,9,rat16,481,5.632856278,0.392857143,2.269094633,DS
F,3,9,rat9,481,2.913404098,0.233333333,2.035641783,DS
M,1,9,rat10,481,7.491720083,0.733333333,2.359020451,DS
M,1,9,rat11,481,4.418567243,0.966666667,1.513463526,DS
M,1,9,rat13,481,0.129494359,0.75,4.20151296,DS
M,1,9,rat15,481,10.28253695,0.933333333,3.081906469,DS
M,2,9,rat10,481,0.04184903,0.407407407,3.328007447,DS
M,2,9,rat11,481,1.090898586,0.689655172,1.77446912,DS
M,2,9,rat13,481,-0.159825359,0.272727273,4.679871147,DS
M,2,9,rat15,481,1.508350781,0.5,2.2458368,DS
M,3,9,rat10,481,5.492280383,0.666666667,3.572359168,DS
M,3,9,rat11,481,1.551411325,0.444444444,3.099989333,DS
M,3,9,rat13,481,-0.127891259,NaN,NaN,DS
M,3,9,rat15,481,0.81509755,0.428571429,2.550879573,DS
F,1,9,rat12,481,1.084900241,0.166666667,4.599808,NS
F,1,9,rat16,481,2.890468627,0.25,2.28327424,NS
F,1,9,rat9,481,-0.206546967,0.136363636,3.809826133,NS
F,2,9,rat12,481,0.73903421,NaN,NaN,NS
F,2,9,rat16,481,-1.626744726,0.076923077,2.98983424,NS
F,2,9,rat9,481,0.139829533,0.1,4.8898048,NS
F,3,9,rat12,481,1.030315537,NaN,NaN,NS
F,3,9,rat16,481,-0.468394653,0.260869565,2.254902613,NS
F,3,9,rat9,481,2.22575947,0.4,1.1698176,NS
M,1,9,rat10,481,2.434990826,NaN,NaN,NS
M,1,9,rat11,481,-0.414899517,0.181818182,3.48504064,NS
M,1,9,rat13,481,-1.366859771,0.107142857,6.10287616,NS
M,1,9,rat15,481,-0.909764275,1,4.33979392,NS
M,2,9,rat10,481,-0.805820776,NaN,NaN,NS
M,2,9,rat11,481,-2.565465806,0.111111111,9.79009536,NS
M,2,9,rat13,481,-0.008826319,1,8.3795968,NS
M,2,9,rat15,481,-0.077719601,NaN,NaN,NS
M,3,9,rat10,481,0.395426898,0.034482759,9.7296384,NS
M,3,9,rat11,481,2.004385435,NaN,NaN,NS
M,3,9,rat13,481,-0.291175419,0.5,7.54941952,NS
M,3,9,rat15,481,0.032474435,NaN,NaN,NS
